Datetime,TSLA,TSLA,TSLA,TSLA,TSLA
2025-09-30 17:48:00,438.8799133300781,439.0,438.5899963378906,438.7200012207031,116837
2025-09-30 17:49:00,438.95001220703125,439.010009765625,438.7099914550781,438.889892578125,88847
2025-09-30 17:50:00,439.625,439.7200927734375,438.9372863769531,438.94000244140625,204775
2025-09-30 17:51:00,439.6400146484375,439.7799987792969,439.54010009765625,439.6199951171875,138102
2025-09-30 17:52:00,439.18499755859375,439.6499938964844,439.1300964355469,439.6300048828125,158353
2025-09-30 17:53:00,439.4598083496094,439.4598083496094,439.16009521484375,439.18499755859375,70071
2025-09-30 17:54:00,439.32000732421875,439.57000732421875,439.2401123046875,439.45001220703125,98924
2025-09-30 17:55:00,439.1300048828125,439.57000732421875,439.07000732421875,439.3299865722656,106494
2025-09-30 17:56:00,438.3599853515625,439.2900085449219,438.252197265625,439.1300048828125,149941
2025-09-30 17:57:00,438.6050109863281,438.82000732421875,438.19000244140625,438.3349914550781,114307
2025-09-30 17:58:00,438.7427978515625,439.1400146484375,438.489990234375,438.6050109863281,107130
2025-09-30 17:59:00,438.3349914550781,438.8299865722656,438.2099914550781,438.760009765625,89050
2025-09-30 18:00:00,438.57000732421875,438.57000732421875,438.2799987792969,438.29998779296875,73399
2025-09-30 18:01:00,438.510009765625,438.739990234375,438.4100036621094,438.57000732421875,79862
2025-09-30 18:02:00,438.3299865722656,438.6545104980469,438.2401123046875,438.5006103515625,81043
2025-09-30 18:03:00,438.55999755859375,438.7799987792969,438.25,438.2701110839844,63689
2025-09-30 18:04:00,438.3800048828125,438.6097106933594,438.31060791015625,438.57000732421875,54772
2025-09-30 18:05:00,438.7149963378906,438.8299865722656,438.3800048828125,438.4150085449219,59793
2025-09-30 18:06:00,439.16009521484375,439.25,438.66009521484375,438.69000244140625,139122
2025-09-30 18:07:00,439.3900146484375,439.45001220703125,439.1401062011719,439.19000244140625,94482
2025-09-30 18:08:00,439.2950134277344,439.4700012207031,439.1700134277344,439.3959045410156,102361
2025-09-30 18:09:00,439.2250061035156,439.5,439.22021484375,439.2680969238281,71817
2025-09-30 18:10:00,439.53448486328125,439.6000061035156,439.2099914550781,439.26849365234375,69702
2025-09-30 18:11:00,439.5950012207031,439.760009765625,439.2099914550781,439.5199890136719,95270
2025-09-30 18:12:00,439.9100036621094,440.0799865722656,439.57000732421875,439.5950012207031,168005
2025-09-30 18:13:00,440.1050109863281,440.2099914550781,439.7620849609375,439.93829345703125,146543
2025-09-30 18:14:00,440.1499938964844,440.20001220703125,439.9200134277344,440.1400146484375,144148
2025-09-30 18:15:00,440.9100036621094,441.0899963378906,440.15411376953125,440.15411376953125,290666
2025-09-30 18:16:00,440.8681945800781,441.0,440.4707946777344,440.9100036621094,141860
2025-09-30 18:17:00,440.6499938964844,440.8999938964844,440.4505920410156,440.8999938964844,94010
2025-09-30 18:18:00,440.6839904785156,440.7799072265625,440.3599853515625,440.6300048828125,90830
2025-09-30 18:19:00,441.44000244140625,441.5,440.6199951171875,440.6600036621094,250701
2025-09-30 18:20:00,441.7900085449219,441.8500061035156,441.4100036621094,441.4700012207031,212178
2025-09-30 18:21:00,441.8699951171875,441.92999267578125,441.6000061035156,441.7850036621094,127333
2025-09-30 18:22:00,441.7699890136719,442.1698913574219,441.69000244140625,441.8699951171875,222679
2025-09-30 18:23:00,442.1802062988281,442.239990234375,441.6400146484375,441.739990234375,168291
2025-09-30 18:24:00,442.9200134277344,442.9800109863281,442.0299987792969,442.18499755859375,252239
2025-09-30 18:25:00,443.659912109375,443.75,442.8399963378906,442.8900146484375,363029
2025-09-30 18:26:00,444.29998779296875,444.3299865722656,443.4302062988281,443.635009765625,311399
2025-09-30 18:27:00,444.1199951171875,444.4100036621094,443.8699951171875,444.30499267578125,293348
2025-09-30 18:28:00,443.7149963378906,444.2040100097656,443.67999267578125,444.1099853515625,188249
2025-09-30 18:29:00,443.3900146484375,444.07000732421875,443.29998779296875,443.69219970703125,255871
